Groupe;"Repère Équipement";"Code Article";"Nb Doublons";"IDs Concernés";Sources;"Désignations Équipement";"Désignations Article";Fabricants;Quantités;Unités;"Dates Création";"Première Création";"Dernière Création"
1;"NIV CAISSE@BOUE FO 0-28V1BRIDE DN20 PN16";LI890281;17;216,2195,2194,2193,2192,2191,2190,2189,2188,2187,2186,2185,2184,2183,2182,2181,2180;"SAP | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE";;"TUBE PLEXI LONGEUR 940 MM POUR ENTR'AXE | CARTOUCHE,FUSIBLE+PERCUTEUR 10X38 G1 | FUSIBLE REF,DF 4HA1201 POSTE 65 200A TYP | FUSIBLE REF,DF 4GA1161 POSTE 64 160A TYP | CARTOUCHE,FUSIBLE+PERCUTEUR DF3EA02 | RELAIS,INSTANTANE REF.LR2D3353 220V 50HZ | FUSIBLE,CAPELIN 521CPAM14-51 25A TYPE AM | FUSIBLE,CAPELIN 5822AM100 100A TYPE AM";;"1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1";"PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE";"2015-02-24 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23";2015-02-24;2025-07-23
2;"FOND K2001 APPAREIL ECHELLE 0-100L";LIC2012;16;260,1859,1858,1857,1856,1855,1854,1853,1852,1851,1850,1849,1848,1847,1846,1845;"SAP | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE";;"ASSY UNIT MAN REFERENCE C0131MA  P/REGUL | ELECTROVANNE LUCIFER AVEC ACCESSOIRES RE | VANNE THERMOSTATIQUE""SART"" SERIE 807 TYP | PRESSOSTAT SAUTER DFC 17 B-58 ECHELLE:0- | MANOMETRE MIX-100-A 1/2""BSP ECHELLE:0  à | SONDE PT100(250X5MN) REF,9417905 P/BAIN | INDICATEUR DE COLMATAGE TYPE 436,2 REGLE | CARTE PROGRAMME REFERENCE 540963,80 P/AR | SECTIONNEUR GK1-EX 50A+CDE+PORTE 2/24+AC | CONTACTEUR TRIPOLAIRE 12A 1F 220V 50HZ R | RELAIS THERMIQUE REF,LR2D3357 P/TABLEAUX | FUSIBLE REF,DF 3EA12 POSTE 55 TYPE:AM AV | CARTOUCHE,FUSIBLE+PERCUTEUR 10X38 G1 | CONTACT ""0"" REF,ZB2-BE102 POUR UNITE DE | RELAIS,INSTANTANE REF.LR2D3353 220V 50HZ | AMPOULE NEON CULOTT BASS 220V DIAM,22,2";;"1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1";"PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE";"2015-02-24 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23";2015-02-24;2025-07-23
3;"FOND K2002 APPAREIL ECHELLE:0 @ 100L.";LIC2018;16;262,1829,1828,1827,1826,1825,1824,1823,1822,1821,1820,1819,1818,1817,1816,1815;"SAP | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE";;"ASSY UNIT MAN REFERENCE C0131MA  P/REGUL | ELECTROVANNE LUCIFER AVEC ACCESSOIRES RE | VANNE THERMOSTATIQUE""SART"" SERIE 807 TYP | PRESSOSTAT SAUTER DFC 17 B-58 ECHELLE:0- | MANOMETRE MIX-100-A 1/2""BSP ECHELLE:0  à | SONDE PT100(250X5MN) REF,9417905 P/BAIN | INDICATEUR DE COLMATAGE TYPE 436,2 REGLE | CARTE PROGRAMME REFERENCE 540963,80 P/AR | SECTIONNEUR GK1-EX 50A+CDE+PORTE 2/24+AC | CONTACTEUR TRIPOLAIRE 12A 1F 220V 50HZ R | RELAIS THERMIQUE REF,LR2D3357 P/TABLEAUX | FUSIBLE REF,DF 3EA12 POSTE 55 TYPE:AM AV | CARTOUCHE,FUSIBLE+PERCUTEUR 10X38 G1 | CONTACT ""0"" REF,ZB2-BE102 POUR UNITE DE | RELAIS,INSTANTANE REF.LR2D3353 220V 50HZ | AMPOULE NEON CULOTT BASS 220V DIAM,22,2";;"1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1";"PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE";"2015-02-24 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23";2015-02-24;2025-07-23
4;"TETE K1001 D1003 APPRAEIL ECHELLE:0@100L";LIC2016;16;261,1844,1843,1842,1841,1840,1839,1838,1837,1836,1835,1834,1833,1832,1831,1830;"SAP | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE";;"ASSY UNIT MAN REFERENCE C0131MA  P/REGUL | ELECTROVANNE LUCIFER AVEC ACCESSOIRES RE | VANNE THERMOSTATIQUE""SART"" SERIE 807 TYP | PRESSOSTAT SAUTER DFC 17 B-58 ECHELLE:0- | MANOMETRE MIX-100-A 1/2""BSP ECHELLE:0  à | SONDE PT100(250X5MN) REF,9417905 P/BAIN | INDICATEUR DE COLMATAGE TYPE 436,2 REGLE | CARTE PROGRAMME REFERENCE 540963,80 P/AR | SECTIONNEUR GK1-EX 50A+CDE+PORTE 2/24+AC | CONTACTEUR TRIPOLAIRE 12A 1F 220V 50HZ R | RELAIS THERMIQUE REF,LR2D3357 P/TABLEAUX | FUSIBLE REF,DF 3EA12 POSTE 55 TYPE:AM AV | CARTOUCHE,FUSIBLE+PERCUTEUR 10X38 G1 | CONTACT ""0"" REF,ZB2-BE102 POUR UNITE DE | RELAIS,INSTANTANE REF.LR2D3353 220V 50HZ | AMPOULE NEON CULOTT BASS 220V DIAM,22,2";;"1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1";"PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE";"2015-02-24 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23";2015-02-24;2025-07-23
5;"NIVEAU CAISSE RECUP HUILE MOT BRIDES";LIAL894231;15;257,1898,1897,1896,1895,1894,1893,1892,1891,1890,1889,1888,1887,1886,1885;"SAP | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE";;"TUBE PLEXI LONGUEUR 1340MM POUR ENTRAXE | MANOMETRE MIX-150-D 1/2""NPT ECHELLE:0 @ | INDICATEUR DE DEBIT 0 @ 1 M3/H REF,54344 | SIMPLE THERMOCOUPLE 3570/2 POUR APPAREIL | CONTACTEUR DE PRESSION TYPE 9002379 ECHE | CONTACTEUR DE PRESSION TYPE 9002377 ECHE | DISTRIBUTEUR 49H  P/MOTEUR DIESEL SULZER | SECTIONNEUR GK1-EX 50A+CDE+PORTE 2/24+AC | CONTACTEUR TRIPOLAIRE 12A 1F 220V 50HZ R | RELAIS THERMIQUE POSTE 23 2,5/4A REF,LC1 | FUSIBLE REF,DF 3EA06 POSTE 53 6A TYPE AM | CARTOUCHE,FUSIBLE+PERCUTEUR 10X38 G1 | CONTACT ""0"" REF,ZB2-BE102 POUR UNITE DE | AMPOULE NEON CULOTT BASS 220V DIAM,22,2 | RELAIS,INSTANTANE REF.LR2D3353 220V 50HZ";;"1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1";"PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE";"2015-02-24 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23";2015-02-24;2025-07-23
6;"REGULATEUR PNEU.2 ACTIONS CASC.";LIC1101;15;259,1873,1872,1871,1870,1869,1868,1867,1866,1865,1864,1863,1862,1861,1860;"SAP | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE";;"O RING REFERENCE C0127CM  P/REGULATEUR P | MANOMETRE MIX-150-D 1/2""NPT ECHELLE:0 @ | INDICATEUR DE DEBIT 0 @ 1 M3/H REF,54344 | SIMPLE THERMOCOUPLE 3570/2 POUR APPAREIL | CONTACTEUR DE PRESSION TYPE 9002379 ECHE | CONTACTEUR DE PRESSION TYPE 9002377 ECHE | DISTRIBUTEUR 49H  P/MOTEUR DIESEL SULZER | SECTIONNEUR GK1-EX 50A+CDE+PORTE 2/24+AC | CONTACTEUR TRIPOLAIRE 12A 1F 220V 50HZ R | RELAIS THERMIQUE POSTE 23 2,5/4A REF,LC1 | FUSIBLE REF,DF 3EA06 POSTE 53 6A TYPE AM | CARTOUCHE,FUSIBLE+PERCUTEUR 10X38 G1 | CONTACT ""0"" REF,ZB2-BE102 POUR UNITE DE | RELAIS,INSTANTANE REF.LR2D3353 220V 50HZ | AMPOULE NEON CULOTT BASS 220V DIAM,22,2";;"1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1";"PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE";"2015-02-24 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23";2015-02-24;2025-07-23
7;"BRIDE DN 65 PN16 FLOTTEUR DIA.:40X80 D=1";LSL-0-32-12;13;285,1642,1641,1640,1639,1638,1637,1636,1635,1634,1633,1632,1631;"SAP | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE";;"FLOTTEUR AVEC EXTENSION MAGNETI- QUE P/A | SECTIONNEUR TRIPOLAIRE AVEC SYSTEME CONT | CONTACTEUR,80A 10+1F 220V 50HZ LR2D1305 | 4030321318 P/TABLEAUX ELECTRIQUES B,T, | FUSIBLE REF,DF 3FA80 POSTE 62 80A TYPE A | CARTOUCHE,FUSIBLE+PERCUTEUR 10X38 G1 | CONTACT ""0"" REF,ZB2-BE102 POUR UNITE DE | RELAIS,INSTANTANE REF.LR2D3353 220V 50HZ | AMPOULE NEON CULOTT BASS 220V DIAM,22,2 | SECTIONNEUR GK1-EX 50A+CDE+PORTE 2/24+AC | CONTACTEUR TRIPOLAIRE 12A 1F 220V 50HZ R | RELAIS THERMIQUE REFERENCE LR1D0 9307 PO | FUSIBLE REF,DF 3EA04 POSTE 5 4A AM AVEC";;"1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1";"PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE";"2015-02-24 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23";2015-02-24;2025-07-23
8;"NIVEAU CAISSE JOUR F.O BRIDES DN20 PN16";LI894282;13;242,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976;"SAP | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE";;"TUBE PLEXI LONGUEUR 1440MM POUR ENTRAXE | SECTIONNEUR GK1-EX 50A+CDE+PORTE 2/24+AC | CONTACTEUR TRIPOLAIRE BOBINE 220VCA 40A | RELAIS THERMIQUE REF,LC1D1210M5 POSTE:30 | FUSIBLE REF,DF 3EA40 POSTE 59 40A TYPE A | CARTOUCHE,FUSIBLE+PERCUTEUR 10X38 G1 | CONTACT ""0"" REF,ZB2-BE102 POUR UNITE DE | RELAIS,INSTANTANE REF.LR2D3353 220V 50HZ | AMPOULE NEON CULOTT BASS 220V DIAM,22,2 | SECTIONNEUR GK1 FW 22X58 3P+2F+1 DPMM+CD | CONTACTEUR TRIPOLAIRE 65A 10+1F 220V 50H | RELAIS THERMIQUE REF,LR2D1314 POSTE:32 3 | FUSIBLE CARTOUCHE R3A AM A PERCUTEUR TAI";;"1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1";"PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE";"2015-02-24 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23";2015-02-24;2025-07-23
9;"INDICATEUR DE NIVEAU DU 4-23-V1";LIAL8942312;12;258,1884,1883,1882,1881,1880,1879,1878,1877,1876,1875,1874;"SAP | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE";;"TUBE PLEXI LONGUEUR 1340MM POUR ENTRAXE | MANOMETRE MIX-150-D 1/2""NPT ECHELLE:0 @ | INDICATEUR DE DEBIT 0 @ 1 M3/H REF,54344 | SIMPLE THERMOCOUPLE 3570/2 POUR APPAREIL | SECTIONNEUR GK1-EX 50A+CDE+PORTE 2/24+AC | CONTACTEUR TRIPOLAIRE 12A 1F 220V 50HZ R | RELAIS THERMIQUE POSTE 23 2,5/4A REF,LC1 | FUSIBLE REF,DF 3EA06 POSTE 53 6A TYPE AM | CARTOUCHE,FUSIBLE+PERCUTEUR 10X38 G1 | CONTACT ""0"" REF,ZB2-BE102 POUR UNITE DE | RELAIS,INSTANTANE REF.LR2D3353 220V 50HZ | AMPOULE NEON CULOTT BASS 220V DIAM,22,2";;"1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1";"PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE";"2015-02-24 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23";2015-02-24;2025-07-23
10;"NIVEAU CAISSE MELANGE DO/FO 4-26V1 BRIDE";LI894261;11;240,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995;"SAP | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE | SAP_VALIDE";;"TUBE PLEXI LONGEUR 1140 MM POUR ENTR'AXE | SECTIONNEUR GK1-EX 50A+CDE+PORTE 2/24+AC | CONTACTEUR TRIPOLAIRE 12A 1F 220V 50HZ R | RELAIS THERMIQUE POSTE 23 2,5/4A REF,LC1 | FUSIBLE REF,DF 3EA06 POSTE 53 6A TYPE AM | CARTOUCHE,FUSIBLE+PERCUTEUR 10X38 G1 | CONTACT ""0"" REF,ZB2-BE102 POUR UNITE DE | AMPOULE NEON CULOTT BASS 220V DIAM,22,2 | RELAIS,INSTANTANE REF.LR2D3353 220V 50HZ | RELAIS THERMIQUE REFERENCE LR1D0 9307 PO | FUSIBLE REF,DF 3EA04 POSTE 5 4A AM AVEC";;"1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1";"PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE | PCE";"2015-02-24 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23 | 2025-07-23";2015-02-24;2025-07-23
